loc_index,to_0,to_1,to_2,to_3,to_4,to_5,to_6,to_7,to_8,to_9,to_10,to_11
from_0,0.0,613.03,751.31,780.99,816.18,849.11,950.88,504.47,792.48,893.74,772.16,617.47
from_1,645.91,0.0,311.73,228.63,312.47,464.63,586.41,504.26,776.41,529.27,249.31,57.73
from_2,782.34,320.59,0.0,98.45,86.81,177.54,331.1,579.81,654.84,371.1,452.62,284.25
from_3,827.61,240.69,101.64,0.0,122.25,254.54,410.8,659.51,667.71,450.81,372.72,204.35
from_4,847.78,322.38,86.81,100.8,0.0,242.41,395.97,644.68,719.71,435.97,454.41,286.04
from_5,839.76,443.22,152.38,228.89,217.25,0.0,201.78,623.58,535.43,273.68,583.07,414.69
from_6,985.58,615.92,332.57,409.07,397.43,205.94,0.0,622.05,660.85,164.63,763.25,594.88
from_7,513.59,516.15,575.89,652.39,640.76,668.53,619.76,0.0,440.39,562.62,712.18,520.6
from_8,805.8,793.57,551.25,627.76,616.12,398.87,543.32,442.28,0.0,579.05,981.93,798.02
from_9,928.43,558.78,378.95,455.46,443.82,241.67,164.63,564.91,695.37,0.0,754.8,563.22
from_10,812.79,284.0,415.23,332.13,415.97,568.13,724.39,747.25,981.29,748.91,0.0,247.65
from_11,661.69,56.77,291.7,208.6,292.44,444.6,600.86,520.03,792.19,545.04,229.28,0.0
